Fund Name,Website,Short Description,Status,
,Negotiate Control & Governance Terms,"You will negotiate terms related to control, such as board seats and ""protective provisions"" (actions the company cannot take without investor consent).",The focus is on retaining enough operational control to run your business effectively while giving the investor appropriate oversight.," Demonstrating a strong, well-reasoned vision for the company's future can give investors the confidence to grant you more autonomy."
,Finalise and Sign the Term Sheet,"Once all points are agreed, a final version is drafted and signed by both you (for Coodeh Ltd.) and the fund.","This signals a mutual commitment to proceed with the investment. While non-binding, it is a morally significant agreement."," Signing the term sheet grants you a period of ""exclusivity"" or ""no-shop,"" meaning you cannot negotiate with other investors. Ensure this period is a reasonable length (e.g., 30-45 days)."
4. Legal & Closing,Kick-off Call with Lawyers,Your lawyer and the fund's lawyer will have a call to agree on a timeline and a checklist for closing the deal.,"The focus is on creating a clear, shared project plan to get from the signed Term Sheet to the money in the bank as efficiently as possible."," Being prepared for this call with your own list of questions and desired timelines shows you are organised and proactive, setting a professional tone."
,Drafting of Definitive Agreements,"The fund's lawyers will convert the Term Sheet into long-form, legally binding documents (Shareholders' Agreement, Subscription Agreement).",This is a detail-oriented phase. You must review every line with your lawyer to ensure it accurately reflects the agreed-upon Term Sheet.," Your leverage here is being organised and responsive. The faster you can provide information and feedback, the faster the process moves."
,Prepare the Disclosure Letter,"You will compile a formal letter that discloses any known risks or issues against the ""warranties"" (promises you make about the business).",The focus is on being completely transparent. Hiding something at this stage can kill the deal and your reputation.," Full transparency builds trust. A thorough and honest disclosure process shows you are a credible founder, setting a positive tone for the future board relationship."
,"Finalise the ""Closing Bible""","All final, execution-version documents are compiled into a single set, ready for signature.",Your focus is on a final review of all documents with your lawyer to ensure there are no errors or last-minute changes.," A smooth, error-free closing process demonstrates your attention to detail and operational competence."
,Circulate for Signatures,"The final documents are sent to all parties for electronic signature (e.g., via DocuSign).","The focus is on ensuring all required signatories (founders, investors, the company itself) sign in a timely manner.", Having all signatories briefed and ready to sign quickly avoids frustrating last-minute delays.
5. The Transaction,"Confirm ""Conditions Precedent"" are Met","Your lawyer and the fund's lawyer will formally confirm that all conditions required for the deal to close (e.g., all signatures received) have been satisfied.",This is a formal legal checkpoint before any money is transferred., Your organisational skills are key. Having everything in order ensures this is a quick and seamless confirmation.
,Provide Formal Wire Instructions,You will provide a formal document (often on company letterhead) with the full bank details for Coodeh Ltd.,The focus is on 100% accuracy to prevent any transfer errors or delays. Double-check every number.," Providing clear, correct information instills confidence and avoids unnecessary friction at the most critical moment."
,Confirmation of Funds Received,"The fund wires the investment, and you confirm its arrival in your company's bank account, informing all lawyers.","This is the moment the deal is officially ""closed"" and the transaction is complete.",
,Post-Completion Board Meeting & Ratification,You will hold a formal board meeting to approve the share allotment and ratify all legal documents.,This is a crucial governance step to ensure the entire transaction is properly recorded in the company's minutes., Efficiently handling this final legal step demonstrates operational excellence and reinforces the fund's decision to invest in you.
,File SH01 at Companies House,Your lawyer will file the required SH01 form to officially register the new shares with the UK government.,This must be done within one month of the share allotment. It is a legal requirement.,
,Issue Share Certificates & Update Cap Table,You will issue official share certificates to the fund and update your company's capitalization table (and any software like Carta or Ledgy).,This provides the investor with their formal proof of ownership and ensures your records are accurate for future funding rounds.,
,Submit EIS1 & Distribute EIS3 Forms,"After 4 months of trading, you submit the EIS1 form to HMRC. Upon approval, you receive and distribute the EIS3 certificates.","This is the final and most important step for your investors, as it allows them to claim their tax relief.", Completing this promptly is crucial. Doing it well makes you a founder they would gladly back in future funding rounds.
